,target_-0.000513,target_-0.000249,target_0.000015,target_0.000279,target_0.000543,target_0.000807,target_0.001072,target_0.001336,target_0.001600,target_0.001864
DTE,5.9385493397246374e-15,3.091471475950549e-05,8.967005546417041e-05,0.0033966380518809076,0.003647741120569375,0.019262287545523987,0.04412942696623948,0.16948559622653878,1.044159411343232e-21,3.1617863029218907e-07
NDSN,9.373068113551301e-16,3.7112865907162973e-13,9.705625685844963e-23,5.112431985780825e-14,4.7633142401792434e-14,8.279846084259962e-13,1.1845538115615218e-13,2.170663870838329e-20,5.53081774712055e-28,1.509359335305207e-16
ALLE,6.964874343650066e-16,2.8434201440581016e-15,3.095131959982315e-25,1.1498581419409736e-12,1.071205037933864e-12,8.279671478154982e-13,5.645254898028665e-14,1.9291816199074256e-17,5.949666960811635e-28,7.969647330477798e-18
RL,2.342675794252016e-15,1.999670749552924e-15,1.062049528714222e-22,3.750288707895695e-12,3.4937578907491293e-12,8.280466472560488e-13,1.3416717739836205e-13,1.5772091272001583e-37,7.651933052494309e-32,3.723170531772214e-16
AXON,1.881855589654128e-16,4.011930040988011e-05,3.842270056146752e-39,0.0009835081927714844,0.0012517613357736072,0.003460951760456731,0.010859301301979523,1.5845300615184423e-36,2.729096931551492e-53,0.0002075684833598906
EXR,2.2279273233932583e-15,1.411082676145638e-12,2.120465585071707e-31,1.2322884908871758e-11,1.1479975049920856e-11,8.279714147824531e-13,7.544071046478392e-14,5.080948583455377e-21,6.2016323222588215e-77,1.4454638848872195e-17
PSA,2.2218812057258064e-15,0.00029014478373399187,2.572105972368127e-37,0.00045294665125636234,0.0004207631531517669,0.05113630977429382,0.0008682852145782241,0.014893605668353928,1.6013972673129717e-06,5.765040017842564e-06
TRV,5.861176503180359e-17,3.177521556481982e-14,2.6047412839443305e-06,2.9719569622405043e-13,2.768677869220237e-13,8.279878090283083e-13,2.561366555657412e-14,3.143021864816095e-21,6.108890184917869e-11,1.1651715305327897e-16
LYV,2.775740393292235e-17,1.7342118543708762e-14,2.679423744417072e-22,6.654791837810752e-14,6.199354916087627e-14,8.279690380531827e-13,5.9366661238597135e-12,6.891647504638664e-25,2.666738704504671e-14,4.9645943342585926e-17
BG,1.5231381381922257e-15,0.09264520668103357,0.002762308638647518,0.011951317922054358,0.009232842851169262,0.015154953312722378,0.0004971447033369815,0.0015211356338531953,1.807728383356415e-09,6.220534866550884e-07
GWW,1.469485160844097e-16,1.4580358657553807e-05,6.352965826135318e-05,1.349924700976792e-13,1.254179836394615e-13,8.279784705414695e-13,0.0001981335253391679,0.0006691996774236452,2.93507582728712e-43,2.51263808143199e-07
FE,6.232884965957844e-15,9.975126527472845e-05,8.514624888172639e-05,0.029955427776467064,0.02497740797471996,0.023918799579904927,0.0032835684939533398,2.0906140698928693e-05,8.73402427838968e-12,0.0004990456767357183
AMCR,1.4418783059889472e-16,0.0018104002018204722,0.9757875999473963,0.25973751085222424,0.24370599932520437,0.12234880212183735,0.08972059976806883,0.012810024478432805,3.0516960008138654e-11,0.0001266063295334325
AJG,4.6582445608232695e-19,6.442406873661211e-05,2.5049152065125368e-05,9.679279265550208e-14,9.016225381861383e-14,8.279785067597857e-13,3.9704278832251244e-14,5.29843730110944e-26,4.2179364436639715e-45,5.985952780267193e-16
